"Position","ID","Optimal","FamilyId","Source","Shape","Inventory","TargetRow","Manual","Status"
"31","Career_031","12","F014","RUSH01071_DeepTargetPilot_001/Candidate_001","ShiftedCore","One1x1","6","True","manual accepted: BoardMix_PlaytestPack_001 fully completed in Unity"
"32","Career_032","13","F015","RUSH01071_SeededPilot_003/checkpoint pool/Candidate_006","ShiftedCore","One1x1","4","False","automated only: exact solve, stored-solution replay, Unity batch validation"
"33","Career_033","16","F029","RUSH01071_SeededPilot_003/checkpoint pool/Candidate_018","ShiftedCore","No1x1","5","False","automated only: exact solve, stored-solution replay, Unity batch validation"
"34","Career_034","5","F049","RUSH01071_SeededPilot_003/checkpoint pool/Candidate_017","FullField","No1x1","4","False","automated only: exact solve, stored-solution replay, Unity batch validation"
"35","Career_035","13","F047","RUSH01071_SeededPilot_003/Candidate_003","Tall","No1x1","5","True","manual accepted: BoardMix_PlaytestPack_001 fully completed in Unity"
"36","Career_036","15","F101","RUSH01071_SeededPilot_003/checkpoint pool/Candidate_024","ShiftedCore","No1x1","5","False","automated only: exact solve, stored-solution replay, Unity batch validation"
"37","Career_037","18","F084","RUSH01071_SeededPilot_003/checkpoint pool/Candidate_023","ShiftedCore","One1x1","3","False","automated only: exact solve, stored-solution replay, Unity batch validation"
"38","Career_038","8","F143","RUSH01071_SeededPilot_003/Candidate_009","ShiftedCore","No1x1","6","True","manual accepted: BoardMix_PlaytestPack_001 fully completed in Unity"
"39","Career_039","20","F050","RUSH01071_SeededPilot_003/Candidate_005","ShiftedCore","One1x1","5","True","manual accepted: BoardMix_PlaytestPack_001 fully completed in Unity"
"40","Career_040","22","F013","RUSH01071_DeepTargetPilot_001/Candidate_004","ShiftedCore","No1x1","5","True","manual accepted: BoardMix_PlaytestPack_001 fully completed in Unity"
"41","Career_041","9","F003","RUSH01071_SeededPilot_003/checkpoint pool/Candidate_005","ShiftedCore","No1x1","6","False","automated only: exact solve, stored-solution replay, Unity batch validation"
"42","Career_042","9","F125","RUSH01071_DeepTargetPilot_001/Candidate_008","ShiftedCore","No1x1","5","True","manual accepted: BoardMix_PlaytestPack_001 fully completed in Unity"
"43","Career_043","13","F095","RUSH01071_SeededPilot_003/checkpoint pool/Candidate_004","Wide","Two1x1","2","False","automated only: exact solve, stored-solution replay, Unity batch validation"
"44","Career_044","7","F063","RUSH01071_SeededPilot_003/checkpoint pool/Candidate_003","Tall","One1x1","2","False","automated only: exact solve, stored-solution replay, Unity batch validation"
"45","Career_045","13","F014","RUSH01071_SeededPilot_003/checkpoint pool/Candidate_021","Tall","No1x1","4","False","automated only: exact solve, stored-solution replay, Unity batch validation"
"46","Career_046","10","F035","RUSH01071_SeededPilot_003/checkpoint pool/Candidate_011","ShiftedCore","No1x1","6","False","automated only: exact solve, stored-solution replay, Unity batch validation"
"47","Career_047","28","F036","RUSH01071_DeepTargetPilot_001/Candidate_006","Tall","No1x1","2","True","manual accepted: BoardMix_PlaytestPack_001 fully completed in Unity"
"48","Career_048","3","F087","RUSH01071_SeededPilot_003/checkpoint pool/Candidate_007","ShiftedCore","No1x1","6","False","automated only: exact solve, stored-solution replay, Unity batch validation"
"49","Career_049","9","F103","RUSH01071_SeededPilot_003/Candidate_004","ShiftedCore","Two1x1","5","True","manual accepted: BoardMix_PlaytestPack_001 fully completed in Unity"
"50","Career_050","9","F050","RUSH01071_SeededPilot_003/checkpoint pool/Candidate_013","FullField","No1x1","4","False","automated only: exact solve, stored-solution replay, Unity batch validation"
"51","Career_051","11","F130","RUSH01071_SeededPilot_003/checkpoint pool/Candidate_009","ShiftedCore","No1x1","6","False","automated only: exact solve, stored-solution replay, Unity batch validation"
"52","Career_052","7","F120","RUSH01071_SeededPilot_003/checkpoint pool/Candidate_016","ShiftedCore","No1x1","6","False","automated only: exact solve, stored-solution replay, Unity batch validation"
"53","Career_053","13","F036","RUSH01071_SeededPilot_003/checkpoint pool/Candidate_020","ShiftedCore","No1x1","1","False","automated only: exact solve, stored-solution replay, Unity batch validation"
"54","Career_054","7","F130","RUSH01071_SeededPilot_003/Candidate_006","FullField","No1x1","4","True","manual accepted: BoardMix_PlaytestPack_001 fully completed in Unity"
"55","Career_055","10","F065","RUSH01071_SeededPilot_003/checkpoint pool/Candidate_010","Wide","No1x1","1","False","automated only: exact solve, stored-solution replay, Unity batch validation"
"56","Career_056","13","F042","RUSH01071_SeededPilot_003/Candidate_012","ShiftedCore","One1x1","4","True","manual accepted: BoardMix_PlaytestPack_001 fully completed in Unity"
"57","Career_057","10","F086","RUSH01071_SeededPilot_003/checkpoint pool/Candidate_014","FullField","Two1x1","6","False","automated only: exact solve, stored-solution replay, Unity batch validation"
"58","Career_058","7","F065","RUSH01071_DeepTargetPilot_001/Candidate_005","Wide","No1x1","5","True","manual accepted: BoardMix_PlaytestPack_001 fully completed in Unity"
"59","Career_059","8","F089","RUSH01071_SeededPilot_003/checkpoint pool/Candidate_012","FullField","No1x1","5","False","automated only: exact solve, stored-solution replay, Unity batch validation"
"60","Career_060","10","F086","RUSH01071_DeepTargetPilot_001/Candidate_011","Tall","Two1x1","6","True","manual accepted: BoardMix_PlaytestPack_001 fully completed in Unity"
