Position,ID,OptimalGestures,FamilyId,SourceBatch,SourceCandidate,Shape,Inventory,TargetRow,Status
61,Career_061,11,F130,RUSH01071_SeededPilot_003/checkpoint pool,pool[4]:Candidate_009,ShiftedCore,One1x1,6,"automated only: exact solve, stored-solution replay, Unity batch validation"
62,Career_062,15,F035,RUSH01071_DeepTargetPilot_001/checkpoint pool,pool[81]:Candidate_011,Tall,No1x1,4,"automated only: exact solve, stored-solution replay, Unity batch validation"
63,Career_063,17,F013,RUSH01071_SeededPilot_003/checkpoint pool,pool[21]:Candidate_001,ShiftedCore,One1x1,5,"automated only: exact solve, stored-solution replay, Unity batch validation"
64,Career_064,7,F063,RUSH01071_SeededPilot_003/checkpoint pool,pool[58]:Candidate_003,Tall,No1x1,2,"automated only: exact solve, stored-solution replay, Unity batch validation"
65,Career_065,13,F095,RUSH01071_SeededPilot_003/checkpoint pool,pool[54]:Candidate_004,Wide,One1x1,2,"automated only: exact solve, stored-solution replay, Unity batch validation"
66,Career_066,18,F084,RUSH0107_CrossRegionCausalPilot_001/checkpoint pool,pool[32]:Candidate_023,Tall,One1x1,3,"automated only: exact solve, stored-solution replay, Unity batch validation"
67,Career_067,20,F050,RUSH01071_SeededPilot_003/checkpoint pool,pool[47]:Candidate_013,ShiftedCore,One1x1,5,"automated only: exact solve, stored-solution replay, Unity batch validation"
68,Career_068,8,F003,RUSH0107_CrossRegionCausalPilot_001/checkpoint pool,pool[28]:Candidate_005,Tall,No1x1,4,"automated only: exact solve, stored-solution replay, Unity batch validation"
69,Career_069,14,F015,RUSH0107_CrossRegionCausalPilot_001/checkpoint pool,pool[51]:Candidate_006,Wide,No1x1,4,"automated only: exact solve, stored-solution replay, Unity batch validation"
70,Career_070,17,F049,RUSH01071_SeededPilot_003/checkpoint pool,pool[46]:Candidate_017,ShiftedCore,One1x1,3,"automated only: exact solve, stored-solution replay, Unity batch validation"
71,Career_071,28,F036,RUSH01071_SeededPilot_003/checkpoint pool,pool[3]:Candidate_020,Tall,No1x1,2,"automated only: exact solve, stored-solution replay, Unity batch validation"
72,Career_072,7,F120,RUSH01071_SeededPilot_003/checkpoint pool,pool[31]:Candidate_016,ShiftedCore,One1x1,6,"automated only: exact solve, stored-solution replay, Unity batch validation"
73,Career_073,12,F042,RUSH01071_SeededPilot_003/checkpoint pool,pool[65]:Candidate_008,ShiftedCore,No1x1,4,"automated only: exact solve, stored-solution replay, Unity batch validation"
74,Career_074,16,F087,RUSH0107_CrossRegionCausalPilot_001/checkpoint pool,pool[60]:Candidate_007,Tall,No1x1,4,"automated only: exact solve, stored-solution replay, Unity batch validation"
75,Career_075,17,F029,RUSH0107_CrossRegionCausalPilot_001/checkpoint pool,pool[80]:Candidate_018,ShiftedCore,No1x1,4,"automated only: exact solve, stored-solution replay, Unity batch validation"
76,Career_076,5,F101,RUSH01071_SeededPilot_003/checkpoint pool,pool[49]:Candidate_024,ShiftedCore,One1x1,2,"automated only: exact solve, stored-solution replay, Unity batch validation"
77,Career_077,13,F014,RUSH01071_SeededPilot_003/checkpoint pool,pool[43]:Candidate_021,Tall,No1x1,4,"automated only: exact solve, stored-solution replay, Unity batch validation"
78,Career_078,17,F084,RUSH01071_SeededPilot_003/checkpoint pool,pool[71]:Candidate_023,ShiftedCore,No1x1,3,"automated only: exact solve, stored-solution replay, Unity batch validation"
79,Career_079,17,F049,RUSH0107_CrossRegionCausalPilot_001/checkpoint pool,pool[36]:Candidate_017,ShiftedCore,No1x1,3,"automated only: exact solve, stored-solution replay, Unity batch validation"
80,Career_080,9,F086,RUSH0107_CrossRegionCausalPilot_001/checkpoint pool,pool[43]:Candidate_014,Tall,No1x1,4,"automated only: exact solve, stored-solution replay, Unity batch validation"
81,Career_081,13,F103,RUSH0107_CrossRegionCausalPilot_001/checkpoint pool,pool[18]:Candidate_019,ShiftedCore,One1x1,4,"automated only: exact solve, stored-solution replay, Unity batch validation"
82,Career_082,13,F047,RUSH01071_SeededPilot_003/checkpoint pool,pool[52]:Candidate_022,Tall,One1x1,4,"automated only: exact solve, stored-solution replay, Unity batch validation"
83,Career_083,7,F125,RUSH01071_SeededPilot_003/checkpoint pool,pool[9]:Candidate_015,ShiftedCore,No1x1,5,"automated only: exact solve, stored-solution replay, Unity batch validation"
84,Career_084,10,F086,RUSH01071_SeededPilot_003/checkpoint pool,pool[40]:Candidate_014,Wide,One1x1,6,"automated only: exact solve, stored-solution replay, Unity batch validation"
85,Career_085,9,F050,RUSH01071_SeededPilot_003/checkpoint pool,pool[6]:Candidate_013,ShiftedCore,No1x1,6,"automated only: exact solve, stored-solution replay, Unity batch validation"
86,Career_086,40,F035,RUSH01071_DeepTargetPilot_001/checkpoint pool,pool[73]:Candidate_011,ShiftedCore,One1x1,5,"automated only: exact solve, stored-solution replay, Unity batch validation"
87,Career_087,4,F065,RUSH01071_SeededPilot_003/checkpoint pool,pool[77]:Candidate_010,ShiftedCore,One1x1,1,"automated only: exact solve, stored-solution replay, Unity batch validation"
88,Career_088,8,F143,RUSH01071_SeededPilot_003/checkpoint pool,pool[35]:Candidate_002,ShiftedCore,One1x1,6,"automated only: exact solve, stored-solution replay, Unity batch validation"
89,Career_089,7,F089,RUSH0107_CrossRegionCausalPilot_001/checkpoint pool,pool[57]:Candidate_012,Tall,One1x1,4,"automated only: exact solve, stored-solution replay, Unity batch validation"
90,Career_090,5,F101,RUSH01071_SeededPilot_003/checkpoint pool,pool[50]:Candidate_024,ShiftedCore,No1x1,2,"automated only: exact solve, stored-solution replay, Unity batch validation"
